rank,drug_name,original_indication,proposed_ad_mechanism,target_genes,pathway_cluster,composite_score,bbb_penetration,validation_model,validation_assay
1,Minocycline,Bacterial infections / Acne,Microglial inhibition and anti-inflammatory via M1-to-M2 polarization,"TREM2, CD33, INPP5D",Neuroinflammation,60,High,BV2 microglial cells,"Cytokine assays (IL-1β, TNF-α), microglial activation markers (CD68, Iba1), Aβ phagocytosis assay"
2,Acetyl-L-carnitine,Carnitine deficiency / Neuropathy,Mitochondrial function enhancement and lipid metabolism support,"Mitochondrial complex genes, SLC22A5",Energy Metabolism,55,High,iPSC-derived neurons,"Seahorse respiration analysis, ATP measurement, mitochondrial membrane potential"
3,Rapamycin,Organ transplant rejection / Renal cell carcinoma,mTOR inhibition and autophagy enhancement for aggregate clearance,"BIN1, PICALM, CD2AP",Autophagy/Lysosomal,52,Low-Medium,iPSC-derived neurons,"LC3-II/LC3-I ratio, p62 degradation, autophagosome formation"
4,Simvastatin,Hypercholesterolemia / Cardiovascular disease,HMG-CoA reductase inhibition and cholesterol homeostasis in lipid rafts,"APOE, ABCA7, CLU, SORL1",Lipid Metabolism,50,Medium,iPSC-derived neurons,"Cholesterol measurement, APOE secretion, membrane fluidity"
5,Pioglitazone,Type 2 Diabetes Mellitus,PPAR-gamma agonism and neuroinflammatory modulation,"TREM2, PLCG2",Neuroinflammation,50,Medium,BV2 microglia,"Cytokine profiling, NF-κB reporter assay"
6,Vorinostat,Cutaneous T-cell lymphoma,HDAC inhibition restoring synaptic plasticity gene expression,"MEF2C, CELF1",Epigenetic Regulation,50,Medium,iPSC-derived neurons,"Histone acetylation levels (H3K9ac, H3K27ac), synaptic gene expression (qPCR)"
7,Lithium,Bipolar disorder,GSK3β inhibition supporting synaptic maintenance and neuroprotection,"GSK3B, DYRK1A",Synaptic Maintenance,50,High,iPSC-derived neurons,"GSK3β phosphorylation, tau phosphorylation, synaptic density (PSD-95)"
8,Celecoxib,Osteoarthritis / Rheumatoid arthritis,Selective COX-2 inhibition reducing neuroinflammatory cascade,"PTGS2, CD33, MS4A6A",Neuroinflammation,50,Medium,BV2 microglia,"PGE2 levels, COX-2 expression, microglial morphology"
9,Metformin,Type 2 Diabetes Mellitus,AMPK activation enhancing mitochondrial biogenesis and energy metabolism,"PRKAB1, STK11",Energy Metabolism,47,Low-Medium,iPSC-derived neurons,"AMPK phosphorylation, mitochondrial biogenesis markers (PGC-1α), glucose uptake"
10,Darapladib,Atherosclerosis (investigational),Lp-PLA2 inhibition reducing phospholipid-mediated neuroinflammation,"PLA2G7, ABCA7",Neuroinflammation,30,Low,BV2 microglia,"Lp-PLA2 activity, lysophosphatidylcholine levels, inflammatory cytokines"
